Land,Ride,Day of Week,Local Time,wait_minutes,is_long_wait,wait_bucket,land_avg_wait
Pixar Pier,Games of Pixar Pier,Monday,2024-07-08 18:30:03.881392-07:00,5,false,low,19.29
Pixar Pier,Games of Pixar Pier,Monday,2024-07-08 18:45:03.864851-07:00,5,false,low,22.14
Pixar Pier,Games of Pixar Pier,Monday,2024-07-08 19:00:03.809919-07:00,5,false,low,23.57
Pixar Pier,Games of Pixar Pier,Monday,2024-07-08 19:15:03.760389-07:00,5,false,low,20.71
Pixar Pier,Games of Pixar Pier,Monday,2024-07-08 19:30:03.778871-07:00,5,false,low,18.57
Pixar Pier,Games of Pixar Pier,Monday,2024-07-08 19:45:03.709468-07:00,5,false,low,21.0
Pixar Pier,Games of Pixar Pier,Monday,2024-07-08 20:00:03.808298-07:00,5,false,low,20.83
Pixar Pier,Games of Pixar Pier,Monday,2024-07-08 20:15:04.479914-07:00,5,false,low,21.67
Pixar Pier,Games of Pixar Pier,Monday,2024-07-08 20:30:04.568513-07:00,5,false,low,22.5
Pixar Pier,Games of Pixar Pier,Monday,2024-07-08 20:45:03.564814-07:00,5,false,low,22.5
Pixar Pier,Games of Pixar Pier,Monday,2024-07-08 21:00:03.817336-07:00,5,false,low,24.0
Pixar Pier,Games of Pixar Pier,Tuesday,2024-07-09 13:00:04.313878-07:00,5,false,low,30.0
Pixar Pier,Games of Pixar Pier,Tuesday,2024-07-09 13:15:04.224809-07:00,5,false,low,28.57
Pixar Pier,Games of Pixar Pier,Tuesday,2024-07-09 13:30:04.148748-07:00,5,false,low,34.29
Pixar Pier,Games of Pixar Pier,Tuesday,2024-07-09 13:45:04.167446-07:00,5,false,low,36.43
Pixar Pier,Games of Pixar Pier,Tuesday,2024-07-09 14:00:04.252667-07:00,5,false,low,34.29
Pixar Pier,Games of Pixar Pier,Tuesday,2024-07-09 14:15:05.015161-07:00,5,false,low,32.86
Pixar Pier,Games of Pixar Pier,Tuesday,2024-07-09 14:30:03.968196-07:00,5,false,low,33.57
Pixar Pier,Games of Pixar Pier,Tuesday,2024-07-09 14:45:04.175252-07:00,5,false,low,30.0
Pixar Pier,Games of Pixar Pier,Tuesday,2024-07-09 15:00:04.066271-07:00,5,false,low,27.86
Pixar Pier,Games of Pixar Pier,Tuesday,2024-07-09 15:15:03.950209-07:00,5,false,low,22.14
Pixar Pier,Games of Pixar Pier,Tuesday,2024-07-09 15:30:03.892310-07:00,5,false,low,33.12
Pixar Pier,Games of Pixar Pier,Tuesday,2024-07-09 15:45:03.879355-07:00,5,false,low,33.75
Pixar Pier,Games of Pixar Pier,Tuesday,2024-07-09 16:00:03.748407-07:00,5,false,low,30.0
Pixar Pier,Games of Pixar Pier,Tuesday,2024-07-09 16:15:04.007652-07:00,5,false,low,31.25
Pixar Pier,Games of Pixar Pier,Tuesday,2024-07-09 16:30:04.109573-07:00,5,false,low,35.62
Pixar Pier,Games of Pixar Pier,Tuesday,2024-07-09 16:45:04.020614-07:00,5,false,low,26.88
Pixar Pier,Games of Pixar Pier,Tuesday,2024-07-09 17:00:04.945025-07:00,5,false,low,31.88
Pixar Pier,Games of Pixar Pier,Tuesday,2024-07-09 17:15:04.037489-07:00,5,false,low,36.25
Pixar Pier,Games of Pixar Pier,Tuesday,2024-07-09 17:30:04.366710-07:00,5,false,low,35.62
Pixar Pier,Games of Pixar Pier,Tuesday,2024-07-09 17:45:04.335331-07:00,5,false,low,37.5
Pixar Pier,Games of Pixar Pier,Tuesday,2024-07-09 18:00:04.262074-07:00,5,false,low,37.5
