Land,Ride,Wait Time,Local Time,Day of Week
Paradise Gardens Park,Silly Symphony Swings,5,2024-07-08 18:30:03.881392-07:00,Monday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,5,2024-07-08 18:30:03.881392-07:00,Monday
Pixar Pier,Games of Pixar Pier,5,2024-07-08 18:30:03.881392-07:00,Monday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-08 18:30:03.881392-07:00,Monday
Pixar Pier,Jumpin' Jellyfish,5,2024-07-08 18:30:03.881392-07:00,Monday
Cars Land,Mater's Junkyard Jamboree,10,2024-07-08 18:30:03.881392-07:00,Monday
Hollywood Land,Mickey's PhilharMagic,10,2024-07-08 18:30:03.881392-07:00,Monday
Pixar Pier,Inside Out Emotional Whirlwind,15,2024-07-08 18:30:03.881392-07:00,Monday
Cars Land,Luigi's Rollickin' Roadsters,20,2024-07-08 18:30:03.881392-07:00,Monday
Paradise Gardens Park,Goofy's Sky School,20,2024-07-08 18:30:03.881392-07:00,Monday
Pixar Pier,Pixar Pal-A-Round – Non-Swinging,20,2024-07-08 18:30:03.881392-07:00,Monday
Hollywood Land,"Monsters, Inc. Mike & Sulley to the Rescue!",30,2024-07-08 18:30:03.881392-07:00,Monday
Avengers Campus,Guardians of the Galaxy - Mission: BREAKOUT!,40,2024-07-08 18:30:03.881392-07:00,Monday
Avengers Campus,WEB SLINGERS: A Spider-Man Adventure,40,2024-07-08 18:30:03.881392-07:00,Monday
Grizzly Peak,Grizzly River Run,40,2024-07-08 18:30:03.881392-07:00,Monday
Grizzly Peak,Soarin' Around the World,40,2024-07-08 18:30:03.881392-07:00,Monday
Pixar Pier,Pixar Pal-A-Round - Swinging,40,2024-07-08 18:30:03.881392-07:00,Monday
Pixar Pier,Toy Story Midway Mania!,45,2024-07-08 18:30:03.881392-07:00,Monday
Cars Land,Radiator Springs Racers,50,2024-07-08 18:30:03.881392-07:00,Monday
Paradise Gardens Park,Silly Symphony Swings,5,2024-07-08 18:45:03.864851-07:00,Monday
Paradise Gardens Park,The Little Mermaid - Ariel's Undersea Adventure,5,2024-07-08 18:45:03.864851-07:00,Monday
Pixar Pier,Games of Pixar Pier,5,2024-07-08 18:45:03.864851-07:00,Monday
Pixar Pier,Jessie's Critter Carousel,5,2024-07-08 18:45:03.864851-07:00,Monday
